source_id,task_success_rate,corroboration_score,report_timeliness,handler_confidence,deception_score,ci_flag,reliability_score,behavior_class,scenario_probability
SRC_00072,0.435,0.369,0.486,0.871,0.299,0,0.406,uncertain,0.353
SRC_00073,0.304,0.661,0.621,0.921,0.204,0,0.488,uncertain,0.539
SRC_00074,0.855,0.221,0.902,0.499,0.081,0,0.555,uncertain,0.465
SRC_00075,0.781,0.899,0.68,0.522,0.417,0,0.611,uncertain,0.43
SRC_00076,0.796,0.592,0.593,0.37,0.692,0,0.457,deceptive,0.346
SRC_00077,0.824,0.232,0.737,0.834,0.269,1,0.437,deceptive,0.375
SRC_00078,0.35,0.457,0.556,0.49,0.189,1,0.276,deceptive,0.252
SRC_00079,0.544,0.258,0.641,0.632,0.228,0,0.416,uncertain,0.358
SRC_00080,0.379,0.495,0.6,0.941,0.69,0,0.395,deceptive,0.232
SRC_00081,0.887,0.702,0.882,0.819,0.422,0,0.678,uncertain,0.607
SRC_00082,0.724,0.552,0.955,0.336,0.105,0,0.581,uncertain,0.567
SRC_00083,0.525,0.488,0.856,0.306,0.567,0,0.412,deceptive,0.242
SRC_00084,0.343,0.289,0.663,0.843,0.123,0,0.416,uncertain,0.502
SRC_00085,0.511,0.384,0.703,0.681,0.048,0,0.485,uncertain,0.478
SRC_00086,0.521,0.275,0.475,0.797,0.205,0,0.409,uncertain,0.348
SRC_00087,0.796,0.806,0.848,0.408,0.134,0,0.651,uncertain,0.6
SRC_00088,0.734,0.301,0.758,0.902,0.484,0,0.51,coerced,0.406
SRC_00089,0.903,0.647,0.941,0.834,0.388,0,0.688,uncertain,0.579
SRC_00090,0.621,0.457,0.52,0.915,0.579,0,0.455,deceptive,0.209
SRC_00091,0.381,0.369,0.856,0.535,0.409,0,0.397,coerced,0.282
SRC_00092,0.785,0.68,0.811,0.49,0.335,0,0.591,uncertain,0.453
SRC_00093,0.817,0.543,0.56,0.405,0.421,0,0.49,coerced,0.398
SRC_00094,0.682,0.5,0.8,0.942,0.348,0,0.579,uncertain,0.49
SRC_00095,0.824,0.645,0.955,0.422,0.03,1,0.558,deceptive,0.517
SRC_00096,0.636,0.568,0.951,0.382,0.545,0,0.499,coerced,0.41
SRC_00097,0.655,0.428,0.832,0.433,0.77,0,0.419,deceptive,0.223
SRC_00098,0.591,0.619,0.429,0.832,0.338,0,0.492,uncertain,0.389
SRC_00099,0.317,0.702,0.923,0.914,0.339,0,0.541,uncertain,0.438
SRC_00100,0.373,0.22,0.795,0.86,0.037,1,0.349,deceptive,0.321
SRC_00101,0.321,0.549,0.586,0.689,0.712,0,0.347,deceptive,0.194
SRC_00102,0.733,0.243,0.512,0.986,0.743,1,0.319,deceptive,0.094
SRC_00103,0.514,0.34,0.47,0.348,0.651,0,0.288,deceptive,0.129
SRC_00104,0.646,0.62,0.43,0.898,0.085,0,0.557,uncertain,0.511
SRC_00105,0.917,0.85,0.852,0.595,0.72,0,0.639,deceptive,0.427
SRC_00106,0.47,0.862,0.542,0.614,0.019,0,0.554,uncertain,0.573
SRC_00107,0.579,0.252,0.415,0.388,0.356,0,0.324,coerced,0.188
SRC_00108,0.814,0.514,0.638,0.323,0.4,0,0.489,coerced,0.415
SRC_00109,0.456,0.637,0.69,0.518,0.667,0,0.412,deceptive,0.261
SRC_00110,0.352,0.31,0.502,0.421,0.601,0,0.256,deceptive,0.172
SRC_00111,0.497,0.774,0.426,0.634,0.638,0,0.427,deceptive,0.18
SRC_00112,0.41,0.758,0.513,0.402,0.694,0,0.371,deceptive,0.248
SRC_00113,0.932,0.878,0.807,0.395,0.381,1,0.563,deceptive,0.453
SRC_00114,0.85,0.206,0.449,0.905,0.624,0,0.438,deceptive,0.193
SRC_00115,0.731,0.363,0.733,0.936,0.054,1,0.489,deceptive,0.443
SRC_00116,0.893,0.82,0.488,0.965,0.356,1,0.562,deceptive,0.499
SRC_00117,0.846,0.703,0.517,0.77,0.024,0,0.645,uncertain,0.635
SRC_00118,0.427,0.871,0.636,0.832,0.732,1,0.388,deceptive,0.272
SRC_00119,0.907,0.243,0.46,0.877,0.767,0,0.441,deceptive,0.232
SRC_00120,0.667,0.648,0.504,0.755,0.067,0,0.566,uncertain,0.548
SRC_00121,0.849,0.627,0.609,0.528,0.426,0,0.549,coerced,0.433
SRC_00122,0.909,0.227,0.598,0.408,0.26,0,0.471,uncertain,0.355
SRC_00123,0.516,0.585,0.85,0.464,0.274,0,0.5,uncertain,0.43
SRC_00124,0.375,0.657,0.445,0.88,0.361,0,0.444,coerced,0.343
SRC_00125,0.455,0.343,0.916,0.78,0.1,0,0.507,uncertain,0.486
SRC_00126,0.59,0.405,0.89,0.614,0.145,0,0.527,uncertain,0.494
SRC_00127,0.856,0.68,0.86,0.32,0.462,0,0.578,uncertain,0.463
SRC_00128,0.885,0.551,0.586,0.484,0.015,0,0.591,uncertain,0.592
SRC_00129,0.305,0.844,0.894,0.803,0.48,0,0.53,coerced,0.465
SRC_00130,0.647,0.457,0.51,0.654,0.255,0,0.47,uncertain,0.357
SRC_00131,0.584,0.4,0.475,0.601,0.666,0,0.36,deceptive,0.157
SRC_00132,0.451,0.939,0.427,0.516,0.48,0,0.461,coerced,0.412
SRC_00133,0.382,0.883,0.964,0.719,0.566,0,0.551,deceptive,0.473
SRC_00134,0.53,0.222,0.585,0.967,0.092,0,0.463,uncertain,0.453
SRC_00135,0.941,0.778,0.951,0.922,0.213,0,0.773,cooperative,0.821
SRC_00136,0.52,0.283,0.564,0.321,0.797,0,0.268,deceptive,0.093
SRC_00137,0.653,0.221,0.945,0.632,0.347,0,0.483,uncertain,0.49
SRC_00138,0.778,0.405,0.942,0.527,0.287,0,0.559,uncertain,0.56
SRC_00139,0.547,0.402,0.954,0.652,0.699,0,0.448,deceptive,0.355
SRC_00140,0.961,0.814,0.698,0.718,0.026,0,0.735,uncertain,0.671
SRC_00141,0.954,0.733,0.92,0.438,0.428,0,0.655,uncertain,0.581
SRC_00142,0.471,0.936,0.97,0.839,0.168,0,0.67,uncertain,0.624
SRC_00143,0.638,0.734,0.595,0.628,0.295,0,0.544,uncertain,0.403
SRC_00144,0.505,0.514,0.651,0.984,0.16,1,0.434,deceptive,0.461
SRC_00145,0.494,0.724,0.832,0.317,0.03,0,0.539,uncertain,0.591
SRC_00146,0.325,0.95,0.58,0.431,0.333,1,0.366,deceptive,0.275
SRC_00147,0.715,0.733,0.852,0.776,0.631,0,0.59,deceptive,0.401
SRC_00148,0.642,0.771,0.444,0.78,0.762,1,0.377,deceptive,0.189
SRC_00149,0.335,0.904,0.714,0.702,0.499,0,0.5,coerced,0.285
SRC_00150,0.489,0.285,0.473,0.971,0.311,0,0.412,uncertain,0.267
SRC_00151,0.918,0.729,0.576,0.587,0.616,0,0.568,deceptive,0.399
SRC_00152,0.463,0.838,0.555,0.588,0.404,0,0.487,coerced,0.417
SRC_00153,0.399,0.916,0.903,0.928,0.294,0,0.624,uncertain,0.541
SRC_00154,0.633,0.358,0.516,0.672,0.143,0,0.462,uncertain,0.398
SRC_00155,0.97,0.578,0.885,0.544,0.637,0,0.599,deceptive,0.398
SRC_00156,0.465,0.71,0.876,0.796,0.4,0,0.552,uncertain,0.574
SRC_00157,0.757,0.386,0.699,0.728,0.771,0,0.457,deceptive,0.211
SRC_00158,0.818,0.65,0.54,0.511,0.642,0,0.496,deceptive,0.244
SRC_00159,0.462,0.393,0.536,0.506,0.336,0,0.37,uncertain,0.257
SRC_00160,0.795,0.45,0.679,0.573,0.593,1,0.384,deceptive,0.262
SRC_00161,0.55,0.531,0.405,0.349,0.363,0,0.377,coerced,0.292
SRC_00162,0.73,0.597,0.719,0.95,0.064,0,0.645,uncertain,0.591
SRC_00163,0.731,0.537,0.972,0.426,0.413,0,0.55,uncertain,0.456
SRC_00164,0.664,0.57,0.493,0.434,0.693,0,0.401,deceptive,0.283
SRC_00165,0.361,0.424,0.744,0.746,0.684,0,0.372,deceptive,0.211
SRC_00166,0.868,0.319,0.977,0.8,0.46,0,0.587,uncertain,0.48
SRC_00167,0.518,0.236,0.916,0.808,0.304,0,0.473,uncertain,0.405
SRC_00168,0.427,0.347,0.91,0.559,0.008,0,0.48,uncertain,0.441
SRC_00169,0.328,0.636,0.893,0.903,0.249,0,0.534,uncertain,0.494
SRC_00170,0.702,0.79,0.585,0.675,0.792,0,0.508,deceptive,0.362
SRC_00171,0.761,0.327,0.934,0.603,0.581,0,0.5,deceptive,0.422
SRC_00172,0.311,0.281,0.965,0.859,0.574,0,0.399,deceptive,0.277
SRC_00173,0.648,0.762,0.697,0.468,0.609,0,0.503,deceptive,0.351
SRC_00174,0.454,0.429,0.613,0.894,0.496,0,0.426,coerced,0.396
SRC_00175,0.739,0.914,0.649,0.672,0.469,0,0.61,uncertain,0.499
SRC_00176,0.419,0.736,0.601,0.921,0.363,1,0.414,deceptive,0.299
SRC_00177,0.77,0.445,0.527,0.439,0.355,0,0.46,coerced,0.337
SRC_00178,0.563,0.417,0.771,0.946,0.697,0,0.465,deceptive,0.251
SRC_00179,0.937,0.593,0.738,0.775,0.315,0,0.646,uncertain,0.542
SRC_00180,0.394,0.259,0.678,0.727,0.672,0,0.327,deceptive,0.255
SRC_00181,0.532,0.288,0.458,0.591,0.67,0,0.311,deceptive,0.106
SRC_00182,0.377,0.332,0.878,0.96,0.617,0,0.423,deceptive,0.345
SRC_00183,0.929,0.781,0.505,0.606,0.03,0,0.661,uncertain,0.643
SRC_00184,0.897,0.585,0.469,0.644,0.118,0,0.588,uncertain,0.611
SRC_00185,0.475,0.208,0.774,0.839,0.252,0,0.437,uncertain,0.32
SRC_00186,0.749,0.705,0.639,0.497,0.678,0,0.502,deceptive,0.332
SRC_00187,0.856,0.518,0.436,0.501,0.699,0,0.444,deceptive,0.188
SRC_00188,0.678,0.583,0.613,0.835,0.033,0,0.592,uncertain,0.585
SRC_00189,0.66,0.361,0.863,0.389,0.26,0,0.48,uncertain,0.454
SRC_00190,0.464,0.614,0.769,0.868,0.68,0,0.475,deceptive,0.353
SRC_00191,0.363,0.934,0.618,0.731,0.2,0,0.546,uncertain,0.496
SRC_00192,0.91,0.255,0.515,0.672,0.781,1,0.323,deceptive,0.11
SRC_00193,0.912,0.413,0.779,0.458,0.391,1,0.443,deceptive,0.35
SRC_00194,0.731,0.382,0.933,0.843,0.75,0,0.515,deceptive,0.299
SRC_00195,0.531,0.386,0.788,0.855,0.343,0,0.49,uncertain,0.376
SRC_00196,0.537,0.484,0.888,0.633,0.259,0,0.516,uncertain,0.431
SRC_00197,0.794,0.814,0.713,0.569,0.29,0,0.626,uncertain,0.565
SRC_00198,0.91,0.885,0.831,0.47,0.707,0,0.625,deceptive,0.52
SRC_00199,0.903,0.352,0.938,0.82,0.265,0,0.63,uncertain,0.629
SRC_00200,0.83,0.607,0.864,0.741,0.535,0,0.604,uncertain,0.454
SRC_00201,0.737,0.678,0.946,0.443,0.376,1,0.49,deceptive,0.355
SRC_00202,0.357,0.591,0.659,0.848,0.753,0,0.401,deceptive,0.176
SRC_00203,0.41,0.526,0.943,0.909,0.127,0,0.56,uncertain,0.454
SRC_00204,0.911,0.344,0.773,0.341,0.343,0,0.514,uncertain,0.465
SRC_00205,0.712,0.566,0.922,0.833,0.1,0,0.649,uncertain,0.554
SRC_00206,0.306,0.501,0.424,0.888,0.463,0,0.366,coerced,0.137
SRC_00207,0.369,0.797,0.795,0.984,0.322,0,0.568,uncertain,0.524
SRC_00208,0.751,0.773,0.909,0.464,0.049,0,0.663,uncertain,0.685
SRC_00209,0.303,0.3,0.505,0.556,0.68,0,0.248,deceptive,0.024
SRC_00210,0.409,0.266,0.797,0.967,0.3,0,0.449,uncertain,0.389
SRC_00211,0.673,0.881,0.895,0.365,0.395,0,0.597,uncertain,0.432
SRC_00212,0.77,0.602,0.573,0.661,0.326,0,0.546,uncertain,0.46
SRC_00213,0.743,0.843,0.643,0.65,0.391,0,0.601,uncertain,0.521
SRC_00214,0.453,0.244,0.742,0.719,0.013,0,0.451,uncertain,0.482
SRC_00215,0.784,0.595,0.712,0.528,0.652,0,0.508,deceptive,0.365
SRC_00216,0.461,0.605,0.424,0.939,0.266,0,0.475,uncertain,0.314
SRC_00217,0.521,0.846,0.459,0.486,0.58,0,0.446,deceptive,0.316
SRC_00218,0.808,0.273,0.46,0.748,0.052,0,0.507,uncertain,0.603
SRC_00219,0.742,0.38,0.557,0.642,0.419,0,0.462,coerced,0.377
SRC_00220,0.877,0.505,0.548,0.484,0.727,0,0.462,deceptive,0.211
SRC_00221,0.747,0.849,0.845,0.43,0.319,0,0.622,uncertain,0.507
SRC_00222,0.686,0.904,0.744,0.96,0.158,0,0.701,uncertain,0.636
SRC_00223,0.364,0.945,0.858,0.687,0.079,0,0.608,uncertain,0.472
SRC_00224,0.55,0.919,0.442,0.717,0.687,0,0.488,deceptive,0.321
SRC_00225,0.48,0.204,0.691,0.84,0.191,0,0.431,uncertain,0.366
SRC_00226,0.466,0.236,0.594,0.356,0.78,0,0.254,deceptive,0.044
SRC_00227,0.962,0.311,0.91,0.792,0.198,0,0.637,uncertain,0.581
SRC_00228,0.567,0.462,0.825,0.414,0.385,0,0.455,coerced,0.323
SRC_00229,0.907,0.822,0.922,0.811,0.366,0,0.729,uncertain,0.68
SRC_00230,0.729,0.869,0.428,0.398,0.05,0,0.574,uncertain,0.571
SRC_00231,0.84,0.34,0.832,0.874,0.425,0,0.571,uncertain,0.438
SRC_00232,0.642,0.665,0.724,0.77,0.538,1,0.438,deceptive,0.326
SRC_00233,0.692,0.888,0.895,0.566,0.594,0,0.604,deceptive,0.473
SRC_00234,0.635,0.548,0.704,0.548,0.418,0,0.488,coerced,0.336
SRC_00235,0.433,0.278,0.724,0.403,0.65,0,0.307,deceptive,0.136
SRC_00236,0.791,0.543,0.431,0.924,0.602,0,0.508,deceptive,0.349
SRC_00237,0.491,0.482,0.801,0.382,0.155,0,0.462,uncertain,0.394
SRC_00238,0.317,0.633,0.564,0.626,0.321,0,0.412,uncertain,0.264
SRC_00239,0.739,0.529,0.412,0.463,0.114,0,0.489,uncertain,0.43
SRC_00240,0.42,0.213,0.44,0.987,0.107,0,0.399,uncertain,0.436
SRC_00241,0.94,0.945,0.974,0.704,0.57,0,0.733,deceptive,0.558
SRC_00242,0.949,0.608,0.608,0.403,0.424,0,0.555,uncertain,0.494
SRC_00243,0.922,0.555,0.921,0.761,0.481,0,0.642,uncertain,0.52
SRC_00244,0.552,0.916,0.976,0.984,0.586,0,0.65,deceptive,0.512
SRC_00245,0.311,0.317,0.966,0.717,0.222,0,0.44,uncertain,0.323
SRC_00246,0.931,0.342,0.929,0.616,0.321,0,0.595,uncertain,0.573
SRC_00247,0.591,0.806,0.937,0.502,0.485,0,0.569,uncertain,0.551
SRC_00248,0.957,0.396,0.573,0.364,0.077,0,0.544,uncertain,0.49
SRC_00249,0.955,0.799,0.491,0.457,0.666,0,0.553,deceptive,0.452
SRC_00250,0.88,0.404,0.784,0.682,0.275,0,0.583,uncertain,0.451
SRC_00251,0.5,0.225,0.693,0.82,0.527,0,0.389,coerced,0.255
SRC_00252,0.562,0.588,0.459,0.906,0.796,0,0.424,deceptive,0.166
SRC_00253,0.879,0.348,0.807,0.848,0.38,0,0.582,uncertain,0.506
SRC_00254,0.516,0.768,0.738,0.387,0.172,1,0.427,deceptive,0.374
SRC_00255,0.415,0.681,0.918,0.834,0.173,1,0.478,deceptive,0.432
SRC_00256,0.679,0.893,0.766,0.701,0.048,0,0.678,uncertain,0.732
SRC_00257,0.937,0.787,0.744,0.624,0.614,0,0.628,deceptive,0.537
SRC_00258,0.773,0.336,0.664,0.695,0.235,0,0.518,uncertain,0.451
SRC_00259,0.688,0.8,0.678,0.306,0.138,0,0.567,uncertain,0.588
SRC_00260,0.366,0.681,0.973,0.347,0.571,0,0.441,deceptive,0.356
SRC_00261,0.718,0.702,0.483,0.663,0.247,1,0.45,deceptive,0.444
SRC_00262,0.973,0.824,0.668,0.42,0.48,0,0.623,uncertain,0.51
SRC_00263,0.395,0.63,0.793,0.676,0.334,0,0.486,uncertain,0.419
SRC_00264,0.652,0.55,0.66,0.544,0.267,1,0.407,deceptive,0.326
SRC_00265,0.897,0.677,0.57,0.926,0.392,1,0.532,deceptive,0.551
SRC_00266,0.804,0.423,0.572,0.955,0.251,0,0.567,uncertain,0.524
SRC_00267,0.774,0.337,0.54,0.976,0.696,0,0.466,deceptive,0.288
SRC_00268,0.778,0.662,0.606,0.92,0.058,0,0.649,uncertain,0.66
SRC_00269,0.544,0.375,0.923,0.98,0.024,0,0.585,uncertain,0.593
SRC_00270,0.5,0.26,0.703,0.787,0.325,0,0.425,uncertain,0.447
SRC_00271,0.85,0.2,0.544,0.963,0.138,0,0.538,uncertain,0.502
SRC_00272,0.851,0.656,0.631,0.743,0.595,0,0.568,deceptive,0.458
SRC_00273,0.89,0.472,0.463,0.858,0.283,0,0.564,uncertain,0.487
SRC_00274,0.921,0.764,0.942,0.391,0.209,0,0.683,uncertain,0.546
SRC_00275,0.648,0.481,0.645,0.771,0.288,0,0.516,uncertain,0.444
SRC_00276,0.641,0.565,0.988,0.942,0.176,0,0.646,uncertain,0.645
SRC_00277,0.843,0.505,0.609,0.673,0.24,0,0.566,uncertain,0.513
SRC_00278,0.742,0.688,0.902,0.429,0.454,0,0.571,uncertain,0.4
SRC_00279,0.777,0.467,0.554,0.664,0.691,1,0.357,deceptive,0.264
SRC_00280,0.841,0.923,0.446,0.788,0.297,0,0.646,uncertain,0.512
SRC_00281,0.905,0.902,0.419,0.831,0.257,0,0.667,uncertain,0.564
SRC_00282,0.53,0.836,0.764,0.661,0.625,0,0.526,deceptive,0.313
SRC_00283,0.555,0.89,0.587,0.45,0.018,0,0.571,uncertain,0.515
SRC_00284,0.364,0.537,0.666,0.939,0.242,0,0.481,uncertain,0.423
SRC_00285,0.693,0.602,0.891,0.834,0.362,0,0.607,uncertain,0.547
SRC_00286,0.324,0.757,0.549,0.487,0.481,0,0.397,coerced,0.247
SRC_00287,0.617,0.722,0.585,0.86,0.125,0,0.593,uncertain,0.59
SRC_00288,0.669,0.868,0.907,0.54,0.346,0,0.628,uncertain,0.58
SRC_00289,0.495,0.737,0.696,0.516,0.453,0,0.481,coerced,0.351
SRC_00290,0.702,0.948,0.897,0.896,0.408,0,0.7,uncertain,0.522
SRC_00291,0.321,0.461,0.625,0.903,0.46,0,0.403,coerced,0.364
SRC_00292,0.325,0.825,0.639,0.575,0.53,1,0.338,deceptive,0.172
SRC_00293,0.859,0.723,0.5,0.306,0.303,0,0.539,uncertain,0.353
SRC_00294,0.545,0.719,0.95,0.429,0.051,0,0.59,uncertain,0.558
SRC_00295,0.386,0.444,0.938,0.927,0.044,1,0.447,deceptive,0.465
SRC_00296,0.655,0.789,0.991,0.92,0.687,1,0.527,deceptive,0.392
SRC_00297,0.824,0.875,0.641,0.613,0.542,0,0.605,uncertain,0.413
SRC_00298,0.447,0.364,0.891,0.51,0.611,0,0.388,deceptive,0.143
SRC_00299,0.724,0.669,0.649,0.509,0.743,0,0.479,deceptive,0.309
SRC_00300,0.358,0.494,0.673,0.919,0.6,0,0.413,deceptive,0.289
SRC_00301,0.335,0.942,0.898,0.524,0.554,0,0.511,deceptive,0.428
SRC_00302,0.661,0.559,0.506,0.653,0.525,0,0.458,coerced,0.377
SRC_00303,0.668,0.371,0.532,0.804,0.207,0,0.489,uncertain,0.445
SRC_00304,0.733,0.486,0.589,0.445,0.766,0,0.411,deceptive,0.174
SRC_00305,0.794,0.69,0.873,0.475,0.434,0,0.591,uncertain,0.458
SRC_00306,0.964,0.257,0.624,0.547,0.178,0,0.534,uncertain,0.477
SRC_00307,0.651,0.653,0.615,0.751,0.168,0,0.569,uncertain,0.481
SRC_00308,0.52,0.898,0.999,0.864,0.652,0,0.612,deceptive,0.503
SRC_00309,0.841,0.838,0.63,0.677,0.2,0,0.659,uncertain,0.66
SRC_00310,0.484,0.251,0.549,0.392,0.033,0,0.372,uncertain,0.294
SRC_00311,0.599,0.945,0.774,0.608,0.343,0,0.61,uncertain,0.508
SRC_00312,0.353,0.724,0.881,0.388,0.654,0,0.423,deceptive,0.363
SRC_00313,0.317,0.322,0.442,0.361,0.332,0,0.268,uncertain,0.243
SRC_00314,0.955,0.209,0.771,0.707,0.643,0,0.503,deceptive,0.352
SRC_00315,0.868,0.328,0.421,0.96,0.662,1,0.371,deceptive,0.26
SRC_00316,0.773,0.829,0.716,0.878,0.686,0,0.611,deceptive,0.522
SRC_00317,0.578,0.216,0.554,0.834,0.471,0,0.393,coerced,0.28
SRC_00318,0.418,0.375,0.584,0.802,0.56,0,0.372,deceptive,0.164
SRC_00319,0.406,0.768,0.68,0.919,0.209,0,0.556,uncertain,0.547
SRC_00320,0.47,0.64,0.956,0.819,0.08,0,0.603,uncertain,0.629
SRC_00321,0.673,0.787,0.826,0.733,0.426,0,0.61,uncertain,0.453
SRC_00322,0.786,0.76,0.962,0.552,0.008,0,0.7,uncertain,0.711
SRC_00323,0.749,0.238,0.796,0.37,0.373,0,0.443,coerced,0.31
SRC_00324,0.49,0.869,0.404,0.618,0.082,0,0.525,uncertain,0.422
SRC_00325,0.949,0.37,0.559,0.938,0.087,0,0.617,uncertain,0.606
SRC_00326,0.802,0.615,0.943,0.702,0.697,0,0.584,deceptive,0.482
SRC_00327,0.677,0.683,0.786,0.427,0.512,0,0.518,coerced,0.406
SRC_00328,0.716,0.326,0.989,0.748,0.516,1,0.429,deceptive,0.309
SRC_00329,0.585,0.932,0.494,0.621,0.324,0,0.552,uncertain,0.404
SRC_00330,0.468,0.566,0.578,0.943,0.331,0,0.489,uncertain,0.438
SRC_00331,0.542,0.243,0.617,0.411,0.242,0,0.372,uncertain,0.284
